,name,guiname,slider,description,flags,introduce,cancel,raise,lower,department,mincost,maxcost,cost multiplier,implementation,minincome,maxincome,incomemultiplier,,,,,
#,HealthyEatingCampaign,Healthy Eating Campaign,default,"Through cooking shows, advertisements and specials in newspapers and other media, people are encouraged to be aware of what they eat, what the results of unhealthy food are and how to cook a good meal. This raises the overall health of the people while reducing obesity.",,2,2,1,1,PUBLICSERVICES,30,90,,2,0,0,,#Effects,"Health,0.01+(0.04*x)","Obesity,0.00-(0.04*x)",,
#,CyclingCampaign,Cycling Campaign,default,"This campaign highlights the many advantages that bikes have in our cities. Whether it is to get through heavy traffic with ease, save money for fuel or to help prevent unneccessary pollution, the bike offers many things for many different people, they just don't know it yet.",,2,2,1,1,TRANSPORT,25,80,,2,0,0,,#Effects,"Health,0.02+(0.02*x)","CarUsage,0-(0.03*x),8","RailUsage,0-(0.03*x),8","BusUsage,0-(0.03*x),8"
#,CarPoolingCampaign,Car-Pooling Campaign,default,"It often takes some encouragement for people to come together and make better use of the resources at hand. Car-pooling is a good example of that, so this campaign will make people realize how fun and helpful it can be to car-pool, all the while reducing traffic congestion. And if you still end up in a traffic jam, you at least have people to talk to while waiting.",,2,2,1,1,TRANSPORT,20,60,,2,0,0,,#Effects,"CarUsage,-0.01-(0.03*x),8",,,
#,KeepTheCountryTidyCampaign,Keep The Country Tidy Campaign,default,"A campaign in popular media, designed to make people feel guilty about littering. No matter how much a fine on littering may be, this only works if people are being seen. But a guilty conscience will also work when someone is alone, thus making it far more effective in the long run.",,2,2,1,1,PUBLICSERVICES,30,90,,2,0,0,,#Effects,"Environment,0+(0.04*x),8","Environmentalist,0.04+(0.02*x)","Environmentalist_freq,0+(0.05*x),16",
#,TourismAdCampaign,Tourism Ad Campaign,default,"Tourism is not only a source of income for many people and businesses, it also strengthens foreign relations. This campaign will run in foreign countries, showing our most beautiful places, important sights to see, wonderful people to meet, tasty beers to drink and maybe even throws in a few free tickets to museums and shows, all in the hopes of attracting more people to visit us.",,2,2,1,1,FOREIGNPOLICY,40,110,,2,0,0,,#Effects,"Tourism,0+(0.08*x),4","ForeignRelations,0+(0.04*x),4",,
#,AlcoholAwarenessCampaign,Alcohol Awareness Campaign,default,"Alcohol can be dangerous, even in moderation. To raise awareness of that, this campaign will show all the trouble that alcohol can get you into, from ruined friendships over accidents and addiction to sickness and death. Certainly not a happy topic, but it is always better to have your mood dampened a little now and stay sober than to suffer big time later.",,2,2,1,1,WELFARE,25,80,,2,0,0,,#Effects,"AlcoholConsumption,0-(0.1*x),12",,,
#,BusinessStartupCampaign,Business Startup Campaign,default,"Many people have brilliant ideas, yet only a few of them dare to take the steps neccessary to set up their own little business around their idea. This campaign will help these people out, informs them what they need to do, where they need to go and what permits they need to get. This will help a great deal and make self employed people happy.",,2,2,1,1,ECONOMY,20,75,,2,0,0,,#Effects,"SelfEmployed,0.1+(0.03*x)","SelfEmployed_freq,0+(0.12*x),16","_global_socialism,0-(0.05*x),16","Capitalist,0+(0.03*x),4"
#,YouthPoliticsCouncil,Youth Politics Council,default,"In any democracy it is of utmost importance to teach our kids how politics work and what can be achieved through it. By establishing Youth Politics Councils, youths can get first hand experience on a local and regional level, see that they can make a difference and perhaps the leaders of tomorrow are being recruited here.",,2,3,1,1,PUBLICSERVICES,40,120,,2,0,0,,#Effects,"Young,0.01+(0.04*x)",,,
#,NationalArmedForcesWeek,National Armed Forces Week,default,"Our heroes and protectors need to be recognized. By establishing a National Armed Forces Week, this can be done by celebrating their service for our country, making them feel appreciated and showing the public who these brave men and women are that would risk their lives for our safety.",,2,8,5,5,LAWANDORDER,40,120,,2,0,0,,#Effects,"Patriot,0.02+(0.03*x)","Patriot_freq,0+(0.1*x),16",,
#,FreeParentingClasses,Free Parenting Classes,default,"Having a newborn child can be very taxing and exhausting for new parents. By introducing these free classes, parents can learn how to deal with this situation, how to raise their babies and have a normal life at the same time. It won't make the babies cry less, but it will make the parents more stress resistant and aware, plus they will meet other parents in the same situation.",,3,9,2,2,PUBLICSERVICES,40,225,,4,0,0,,#Effects,"Parents,0.05+(0.04*x)","Parents_freq,0+(0.03*x),24",,
